List of 165 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
  30           7      0.00000
  30           8      0.00000
  30           9      0.00000
  30          10      0.00000
  31           1      0.03872
  31           2      0.03158
  31           3      0.02584
  31           4      0.02125
  31           5      0.01743
  31           6      0.01434
  31           7      0.01169
  31           8      0.00958
  31           9      0.00799
  31          10      0.00659
  32           1      0.10181
  32           2      0.08302
  32           3      0.06794
  32           4      0.05586
  32           5      0.04582
  32           6      0.03770
  32           7      0.03074
  32           8      0.02518
  32           9      0.02099
  32          10      0.01732
  33           1      0.00001
  33           2      0.00001
  33           3      0.00001
  33           4      0.00001
  33           5      0.00001
  33           6      0.00001
  33           7      0.00000
  33           8      0.00000
  33           9      0.00000
  33          10      0.00000
  34           1      0.03895
  34           2      0.03186
  34           3      0.02615
  34           4      0.02142
  34           5      0.01770
  34           6      0.01446
  34           7      0.01183
  34           8      0.00983
  34           9      0.00798
  34          10      0.00655
  35           1      0.10242
  35           2      0.08376
  35           3      0.06875
  35           4      0.05633
  35           5      0.04654
  35           6      0.03801
  35           7      0.03110
  35           8      0.02585
  35           9      0.02097
  35          10      0.01722
  36           1      0.00001
  36           2      0.00001
  36           3      0.00001
  36           4      0.00001
  36           5      0.00001
  36           6      0.00001
  36           7      0.00000
  36           8      0.00000
  36           9      0.00000
  36          10      0.00000
  37           1      0.01565
  37           2      0.01265
  37           3      0.01037
  37           4      0.00833
  37           5      0.00679
  37           6      0.00539
  37           7      0.00424
  37           8      0.00349
  37           9      0.00306
  37          10      0.00226
  38           1      0.04115
  38           2      0.03326
  38           3      0.02726
  38           4      0.02191
  38           5      0.01786
  38           6      0.01418
  38           7      0.01115
  38           8      0.00919
  38           9      0.00805
  38          10      0.00595
  39           1      0.00001
  39           2      0.00000
  39           3      0.00000
  39           4      0.00000
  39           5      0.00000
  39           6      0.00000
  39           7      0.00000
  39           8      0.00000
  39           9      0.00000
  39          10      0.00000
  40           1      0.25131
  40           2      0.14939
  40           3      0.09094
  40           4      0.05460
  40           5      0.03571
  40           6      0.01997
  40           7      0.01359
  40           8      0.00844
  40           9      0.00467
  40          10      0.00344
  41           1      0.66074
  41           2      0.39279
  41           3      0.23909
  41           4      0.14356
  41           5      0.09388
  41           6      0.05250
  41           7      0.03573
  41           8      0.02220
  41           9      0.01227
  41          10      0.00905
  42           1      0.00009
  42           2      0.00005
  42           3      0.00003
  42           4      0.00002
  42           5      0.00001
  42           6      0.00001
  42           7      0.00000
  42           8      0.00000
  42           9      0.00000
  42          10      0.00000
  43           1      0.04081
  43           2      0.03301
  43           3      0.02705
  43           4      0.02226
  43           5      0.01809
  43           6      0.01518
  43           7      0.01233
  43           8      0.01030
  43           9      0.00848
  43          10      0.00694
  44           1      0.10730
  44           2      0.08678
  44           3      0.07112
  44           4      0.05851
  44           5      0.04755
  44           6      0.03991
  44           7      0.03243
  44           8      0.02709
  44           9      0.02230
  44          10      0.01825
  45           1      0.00001
  45           2      0.00001
  45           3      0.00001
  45           4      0.00001
  45           5      0.00001
  45           6      0.00001
  45           7      0.00000
  45           8      0.00000
  45           9      0.00000
  45          10      0.00000
  46           1      0.03893
  46           2      0.02649
  46           3      0.01789
  46           4      0.01219
  46           5      0.00824
  46           6      0.00542
  46           7      0.00386
  46           8      0.00246
  46           9      0.00161
  46          10      0.00129
  47           1      0.10236
  47           2      0.06964
  47           3      0.04704
  47           4      0.03204
  47           5      0.02167
  47           6      0.01426
  47           7      0.01014
  47           8      0.00647
  47           9      0.00424
  47          10      0.00340
  48           1      0.00001
  48           2      0.00001
  48           3      0.00001
  48           4      0.00000
  48           5      0.00000
  48           6      0.00000
  48           7      0.00000
  48           8      0.00000
  48           9      0.00000
  48          10      0.00000
  49           1      0.02070
  49           2      0.01339
  49           3      0.00897
  49           4      0.00594
  49           5      0.00410
  49           6      0.00278
  49           7      0.00178
  49           8      0.00142
  49           9      0.00103
  49          10      0.00074
  50           1      0.05442
  50           2      0.03520
  50           3      0.02358
  50           4      0.01563
  50           5      0.01077
  50           6      0.00732
  50           7      0.00467
  50           8      0.00373
  50           9      0.00270
  50          10      0.00194
  51           1      0.00001
  51           2      0.00000
  51           3      0.00000
  51           4      0.00000
  51           5      0.00000
  51           6      0.00000
  51           7      0.00000
  51           8      0.00000
  51           9      0.00000
  51          10      0.00000
  52           1      0.01464
  52           2      0.01097
  52           3      0.00847
  52           4      0.00637
  52           5      0.00487
  52           6      0.00375
  52           7      0.00280
  52           8      0.00218
  52           9      0.00169
  52          10      0.00120
  53           1      0.03850
  53           2      0.02885
  53           3      0.02226
  53           4      0.01675
  53           5      0.01280
  53           6      0.00987
  53           7      0.00737
  53           8      0.00574
  53           9      0.00444
  53          10      0.00315
  54           1      0.00001
  54           2      0.00000
  54           3      0.00000
  54           4      0.00000
  54           5      0.00000
  54           6      0.00000
  54           7      0.00000
  54           8      0.00000
  54           9      0.00000
  54          10      0.00000
  55           1      0.25681
  55           2      0.15164
  55           3      0.08999
  55           4      0.05031
  55           5      0.02620
  55           6      0.01393
  55           7      0.00726
  55           8      0.00423
  55           9      0.00213
  55          10      0.00112
  56           1      0.67520
  56           2      0.39869
  56           3      0.23659
  56           4      0.13228
  56           5      0.06888
  56           6      0.03661
  56           7      0.01910
  56           8      0.01112
  56           9      0.00559
  56          10      0.00294
  57           1      0.00009
  57           2      0.00005
  57           3      0.00003
  57           4      0.00002
  57           5      0.00001
  57           6      0.00000
  57           7      0.00000
  57           8      0.00000
  57           9      0.00000
  57          10      0.00000
  58           1      0.20301
  58           2      0.12197
  58           3      0.07466
  58           4      0.04532
  58           5      0.02800
  58           6      0.01681
  58           7      0.01005
  58           8      0.00609
  58           9      0.00411
  58          10      0.00226
  59           1      0.53374
  59           2      0.32067
  59           3      0.19630
  59           4      0.11915
  59           5      0.07361
  59           6      0.04420
  59           7      0.02643
  59           8      0.01602
  59           9      0.01079
  59          10      0.00595
  60           1      0.00007
  60           2      0.00004
  60           3      0.00003
  60           4      0.00002
  60           5      0.00001
  60           6      0.00001
  60           7      0.00000
  60           8      0.00000
  60           9      0.00000
  60          10      0.00000
  61           1      0.01299
  61           2      0.00992
  61           3      0.00754
  61           4      0.00585
  61           5      0.00451
  61           6      0.00359
  61           7      0.00269
  61           8      0.00221
  61           9      0.00179
  61          10      0.00128
  62           1      0.03416
  62           2      0.02608
  62           3      0.01983
  62           4      0.01537
  62           5      0.01186
  62           6      0.00944
  62           7      0.00706
  62           8      0.00581
  62           9      0.00470
  62          10      0.00335
  63           1      0.00000
  63           2      0.00000
  63           3      0.00000
  63           4      0.00000
  63           5      0.00000
  63           6      0.00000
  63           7      0.00000
  63           8      0.00000
  63           9      0.00000
  63          10      0.00000
  64           1      0.04329
  64           2      0.02807
  64           3      0.01862
  64           4      0.01271
  64           5      0.00860
  64           6      0.00564
  64           7      0.00396
  64           8      0.00282
  64           9      0.00190
  64          10      0.00121
  65           1      0.11383
  65           2      0.07381
  65           3      0.04894
  65           4      0.03342
  65           5      0.02262
  65           6      0.01482
  65           7      0.01040
  65           8      0.00742
  65           9      0.00499
  65          10      0.00319
  66           1      0.00002
  66           2      0.00001
  66           3      0.00001
  66           4      0.00000
  66           5      0.00000
  66           6      0.00000
  66           7      0.00000
  66           8      0.00000
  66           9      0.00000
  66          10      0.00000
  67           1      0.03312
  67           2      0.02674
  67           3      0.02201
  67           4      0.01849
  67           5      0.01542
  67           6      0.01287
  67           7      0.01079
  67           8      0.00920
  67           9      0.00770
  67          10      0.00644
  68           1      0.08707
  68           2      0.07031
  68           3      0.05786
  68           4      0.04860
  68           5      0.04053
  68           6      0.03385
  68           7      0.02836
  68           8      0.02420
  68           9      0.02025
  68          10      0.01694
  69           1      0.00001
  69           2      0.00001
  69           3      0.00001
  69           4      0.00001
  69           5      0.00001
  69           6      0.00000
  69           7      0.00000
  69           8      0.00000
  69           9      0.00000
  69          10      0.00000
  70           1      0.00501
  70           2      0.00415
  70           3      0.00359
  70           4      0.00313
  70           5      0.00273
  70           6      0.00217
  70           7      0.00192
  70           8      0.00162
  70           9      0.00138
  70          10      0.00116
  71           1      0.01316
  71           2      0.01091
  71           3      0.00945
  71           4      0.00823
  71           5      0.00718
  71           6      0.00571
  71           7      0.00504
  71           8      0.00425
  71           9      0.00363
  71          10      0.00305
  72           1      0.00000
  72           2      0.00000
  72           3      0.00000
  72           4      0.00000
  72           5      0.00000
  72           6      0.00000
  72           7      0.00000
  72           8      0.00000
  72           9      0.00000
  72          10      0.00000
  73           1      0.03426
  73           2      0.02216
  73           3      0.01485
  73           4      0.01013
  73           5      0.00680
  73           6      0.00460
  73           7      0.00305
  73           8      0.00219
  73           9      0.00145
  73          10      0.00107
  74           1      0.09007
  74           2      0.05826
  74           3      0.03903
  74           4      0.02662
  74           5      0.01788
  74           6      0.01209
  74           7      0.00802
  74           8      0.00575
  74           9      0.00382
  74          10      0.00280
  75           1      0.00001
  75           2      0.00001
  75           3      0.00001
  75           4      0.00000
  75           5      0.00000
  75           6      0.00000
  75           7      0.00000
  75           8      0.00000
  75           9      0.00000
  75          10      0.00000
  76           1      0.05189
  76           2      0.04165
  76           3      0.03422
  76           4      0.02812
  76           5      0.02325
  76           6      0.01906
  76           7      0.01562
  76           8      0.01305
  76           9      0.01070
  76          10      0.00898
  77           1      0.13643
  77           2      0.10951
  77           3      0.08996
  77           4      0.07394
  77           5      0.06114
  77           6      0.05010
  77           7      0.04108
  77           8      0.03432
  77           9      0.02813
  77          10      0.02362
  78           1      0.00002
  78           2      0.00001
  78           3      0.00001
  78           4      0.00001
  78           5      0.00001
  78           6      0.00001
  78           7      0.00001
  78           8      0.00000
  78           9      0.00000
  78          10      0.00000
  79           1      0.00601
  79           2      0.00476
  79           3      0.00387
  79           4      0.00319
  79           5      0.00245
  79           6      0.00198
  79           7      0.00162
  79           8      0.00122
  79           9      0.00105
  79          10      0.00086
  80           1      0.01581
  80           2      0.01250
  80           3      0.01017
  80           4      0.00839
  80           5      0.00645
  80           6      0.00522
  80           7      0.00426
  80           8      0.00321
  80           9      0.00276
  80          10      0.00225
  81           1      0.00000
  81           2      0.00000
  81           3      0.00000
  81           4      0.00000
  81           5      0.00000
  81           6      0.00000
  81           7      0.00000
  81           8      0.00000
  81           9      0.00000
  81          10      0.00000
  82           1      0.02760
  82           2      0.02224
  82           3      0.01815
  82           4      0.01522
  82           5      0.01273
  82           6      0.01058
  82           7      0.00867
  82           8      0.00737
  82           9      0.00622
  82          10      0.00514
  83           1      0.07257
  83           2      0.05848
  83           3      0.04772
  83           4      0.04003
  83           5      0.03346
  83           6      0.02781
  83           7      0.02280
  83           8      0.01938
  83           9      0.01636
  83          10      0.01351
  84           1      0.00001
  84           2      0.00001
  84           3      0.00001
  84           4      0.00001
  84           5      0.00000
  84           6      0.00000
  84           7      0.00000
  84           8      0.00000
  84           9      0.00000
  84          10      0.00000
  85           1      0.01817
  85           2      0.02203
  85           3      0.03525
  85           4      0.02525
  85           5      0.04023
  85           6      0.04053
  85           7      0.02053
  85           8      0.02785
  85           9      0.01981
  85          10      0.02090
  86           1      0.04776
  86           2      0.05793
  86           3      0.09268
  86           4      0.06638
  86           5      0.10578
  86           6      0.10657
  86           7      0.05399
  86           8      0.07323
  86           9      0.05209
  86          10      0.05496
  87           1      0.00001
  87           2      0.00001
  87           3      0.00001
  87           4      0.00001
  87           5      0.00001
  87           6      0.00001
  87           7      0.00001
  87           8      0.00001
  87           9      0.00001
  87          10      0.00001
  88           1      0.19245
  88           2      0.11185
  88           3      0.07298
  88           4      0.04660
  88           5      0.02794
  88           6      0.01700
  88           7      0.01026
  88           8      0.00595
  88           9      0.00440
  88          10      0.00227
  89           1      0.50600
  89           2      0.29408
  89           3      0.19187
  89           4      0.12253
  89           5      0.07346
  89           6      0.04471
  89           7      0.02697
  89           8      0.01564
  89           9      0.01156
  89          10      0.00597
  90           1      0.00007
  90           2      0.00004
  90           3      0.00003
  90           4      0.00002
  90           5      0.00001
  90           6      0.00001
  90           7      0.00000
  90           8      0.00000
  90           9      0.00000
  90          10      0.00000
  91           1      0.00492
  91           2      0.00380
  91           3      0.00294
  91           4      0.00216
  91           5      0.00164
  91           6      0.00128
  91           7      0.00097
  91           8      0.00076
  91           9      0.00060
  91          10      0.00046
  92           1      0.01294
  92           2      0.01000
  92           3      0.00772
  92           4      0.00569
  92           5      0.00432
  92           6      0.00337
  92           7      0.00255
  92           8      0.00201
  92           9      0.00158
  92          10      0.00122
  93           1      0.00000
  93           2      0.00000
  93           3      0.00000
  93           4      0.00000
  93           5      0.00000
  93           6      0.00000
  93           7      0.00000
  93           8      0.00000
  93           9      0.00000
  93          10      0.00000
  94           1      0.00508
  94           2      0.00388
  94           3      0.00314
  94           4      0.00262
  94           5      0.00221
  94           6      0.00180
  94           7      0.00150
  94           8      0.00124
  94           9      0.00091
  94          10      0.00061
  95           1      0.01335
  95           2      0.01019
  95           3      0.00826
  95           4      0.00688
  95           5      0.00581
  95           6      0.00473
  95           7      0.00393
  95           8      0.00327
  95           9      0.00238
  95          10      0.00160
  96           1      0.00000
  96           2      0.00000
  96           3      0.00000
  96           4      0.00000
  96           5      0.00000
  96           6      0.00000
  96           7      0.00000
  96           8      0.00000
  96           9      0.00000
  96          10      0.00000
  97           1      0.00852
  97           2      0.00662
  97           3      0.00613
  97           4      0.00495
  97           5      0.00421
  97           6      0.00368
  97           7      0.00290
  97           8      0.00303
  97           9      0.00220
  97          10      0.00153
  98           1      0.02241
  98           2      0.01740
  98           3      0.01611
  98           4      0.01302
  98           5      0.01106
  98           6      0.00966
  98           7      0.00762
  98           8      0.00796
  98           9      0.00579
  98          10      0.00402
  99           1      0.00000
  99           2      0.00000
  99           3      0.00000
  99           4      0.00000
  99           5      0.00000
  99           6      0.00000
  99           7      0.00000
  99           8      0.00000
  99           9      0.00000
  99          10      0.00000
 100           1      0.00217
 100           2      0.00190
 100           3      0.00159
 100           4      0.00139
 100           5      0.00112
 100           6      0.00089
 100           7      0.00083
 100           8      0.00072
 100           9      0.00056
 100          10      0.00038
 101           1      0.00570
 101           2      0.00500
 101           3      0.00418
 101           4      0.00365
 101           5      0.00295
 101           6      0.00235
 101           7      0.00219
 101           8      0.00190
 101           9      0.00147
 101          10      0.00099
 102           1      0.00000
 102           2      0.00000
 102           3      0.00000
 102           4      0.00000
 102           5      0.00000
 102           6      0.00000
 102           7      0.00000
 102           8      0.00000
 102           9      0.00000
 102          10      0.00000
 103           1      0.03174
 103           2      0.02131
 103           3      0.01437
 103           4      0.00971
 103           5      0.00657
 103           6      0.00438
 103           7      0.00301
 103           8      0.00203
 103           9      0.00126
 103          10      0.00106
 104           1      0.08346
 104           2      0.05603
 104           3      0.03779
 104           4      0.02553
 104           5      0.01728
 104           6      0.01153
 104           7      0.00793
 104           8      0.00534
 104           9      0.00331
 104          10      0.00278
 105           1      0.00001
 105           2      0.00001
 105           3      0.00001
 105           4      0.00000
 105           5      0.00000
 105           6      0.00000
 105           7      0.00000
 105           8      0.00000
 105           9      0.00000
 105          10      0.00000
 106           1      0.03689
 106           2      0.03008
 106           3      0.02438
 106           4      0.02001
 106           5      0.01641
 106           6      0.01358
 106           7      0.01100
 106           8      0.00931
 106           9      0.00780
 106          10      0.00615
 107           1      0.09698
 107           2      0.07908
 107           3      0.06411
 107           4      0.05260
 107           5      0.04314
 107           6      0.03571
 107           7      0.02892
 107           8      0.02449
 107           9      0.02052
 107          10      0.01618
 108           1      0.00001
 108           2      0.00001
 108           3      0.00001
 108           4      0.00001
 108           5      0.00001
 108           6      0.00000
 108           7      0.00000
 108           8      0.00000
 108           9      0.00000
 108          10      0.00000
 109           1      0.02035
 109           2      0.01696
 109           3      0.01400
 109           4      0.01178
 109           5      0.01001
 109           6      0.00826
 109           7      0.00704
 109           8      0.00594
 109           9      0.00501
 109          10      0.00416
 110           1      0.05352
 110           2      0.04460
 110           3      0.03682
 110           4      0.03097
 110           5      0.02632
 110           6      0.02172
 110           7      0.01851
 110           8      0.01562
 110           9      0.01318
 110          10      0.01094
 111           1      0.00001
 111           2      0.00001
 111           3      0.00000
 111           4      0.00000
 111           5      0.00000
 111           6      0.00000
 111           7      0.00000
 111           8      0.00000
 111           9      0.00000
 111          10      0.00000
 112           1      0.01043
 112           2      0.00721
 112           3      0.00501
 112           4      0.00337
 112           5      0.00242
 112           6      0.00171
 112           7      0.00124
 112           8      0.00086
 112           9      0.00067
 112          10      0.00045
 113           1      0.02744
 113           2      0.01895
 113           3      0.01318
 113           4      0.00886
 113           5      0.00636
 113           6      0.00451
 113           7      0.00327
 113           8      0.00225
 113           9      0.00175
 113          10      0.00118
 114           1      0.00000
 114           2      0.00000
 114           3      0.00000
 114           4      0.00000
 114           5      0.00000
 114           6      0.00000
 114           7      0.00000
 114           8      0.00000
 114           9      0.00000
 114          10      0.00000
 115           1      0.01668
 115           2      0.01356
 115           3      0.01105
 115           4      0.00911
 115           5      0.00732
 115           6      0.00603
 115           7      0.00474
 115           8      0.00414
 115           9      0.00341
 115          10      0.00261
 116           1      0.04385
 116           2      0.03564
 116           3      0.02905
 116           4      0.02394
 116           5      0.01924
 116           6      0.01584
 116           7      0.01247
 116           8      0.01090
 116           9      0.00898
 116          10      0.00686
 117           1      0.00001
 117           2      0.00000
 117           3      0.00000
 117           4      0.00000
 117           5      0.00000
 117           6      0.00000
 117           7      0.00000
 117           8      0.00000
 117           9      0.00000
 117          10      0.00000
 118           1      0.02092
 118           2      0.02124
 118           3      0.01922
 118           4      0.01551
 118           5      0.01322
 118           6      0.01032
 118           7      0.00790
 118           8      0.00726
 118           9      0.00452
 118          10      0.00428
 119           1      0.05500
 119           2      0.05585
 119           3      0.05052
 119           4      0.04079
 119           5      0.03477
 119           6      0.02713
 119           7      0.02077
 119           8      0.01908
 119           9      0.01187
 119          10      0.01125
 120           1      0.00001
 120           2      0.00001
 120           3      0.00001
 120           4      0.00001
 120           5      0.00000
 120           6      0.00000
 120           7      0.00000
 120           8      0.00000
 120           9      0.00000
 120          10      0.00000
 121           1      0.01063
 121           2      0.00867
 121           3      0.00711
 121           4      0.00588
 121           5      0.00502
 121           6      0.00420
 121           7      0.00339
 121           8      0.00294
 121           9      0.00231
 121          10      0.00184
 122           1      0.02795
 122           2      0.02278
 122           3      0.01869
 122           4      0.01546
 122           5      0.01319
 122           6      0.01105
 122           7      0.00892
 122           8      0.00774
 122           9      0.00607
 122          10      0.00484
 123           1      0.00000
 123           2      0.00000
 123           3      0.00000
 123           4      0.00000
 123           5      0.00000
 123           6      0.00000
 123           7      0.00000
 123           8      0.00000
 123           9      0.00000
 123          10      0.00000
 124           1      0.00900
 124           2      0.00733
 124           3      0.00599
 124           4      0.00504
 124           5      0.00407
 124           6      0.00346
 124           7      0.00276
 124           8      0.00231
 124           9      0.00180
 124          10      0.00167
 125           1      0.02366
 125           2      0.01928
 125           3      0.01574
 125           4      0.01325
 125           5      0.01071
 125           6      0.00910
 125           7      0.00725
 125           8      0.00608
 125           9      0.00474
 125          10      0.00440
 126           1      0.00000
 126           2      0.00000
 126           3      0.00000
 126           4      0.00000
 126           5      0.00000
 126           6      0.00000
 126           7      0.00000
 126           8      0.00000
 126           9      0.00000
 126          10      0.00000
 127           1      0.00170
 127           2      0.00139
 127           3      0.00104
 127           4      0.00071
 127           5      0.00052
 127           6      0.00046
 127           7      0.00033
 127           8      0.00014
 127           9      0.00010
 127          10      0.00010
 128           1      0.00448
 128           2      0.00364
 128           3      0.00274
 128           4      0.00187
 128           5      0.00137
 128           6      0.00120
